Jour;Catégorie client;Puissance moyenne journalière (W)
2020-03-08;Puissance moyenne journalière de la consommation totale HTA (W);9233349091.0
2020-03-08;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4776666439.0
2020-03-08;Puissance moyenne journalière de la production cogénération profilée (W);925887.0
2020-03-08;Puissance moyenne journalière de la production autres profilée (W);1080236.0
2020-03-09;Puissance moyenne journalière de la consommation profilée HTA (W);1416344867.0
2020-03-09;Puissance moyenne journalière de la production télérelevée totale (W);9772061700.0
2020-03-16;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);41767089.0
2020-03-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);4552938450.0
2020-03-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);19877623187.0
2020-03-28;Puissance moyenne journalière de la consommation télérelevée HTA (W);7391614429.0
2020-03-28;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);31968781.0
2020-03-28;Puissance moyenne journalière de la consommation profilée HTA (W);864820525.0
2020-03-28;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);20300374289.0
2020-04-02;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);120558.0
2020-04-05;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);2784179530.0
2020-04-05;Puissance moyenne journalière de la production autres totale (W);1236809656.0
2020-04-13;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);13963424043.0
2020-04-13;Puissance moyenne journalière de la production hydraulique profilée (W);11393662.0
2020-04-17;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);79080.0
2020-04-19;Puissance moyenne journalière de la production hydraulique profilée (W);11362702.0
2020-04-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3167854219.0
2020-04-20;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);13714722572.0
2020-04-20;Puissance moyenne journalière de la production autres totale (W);1368617650.0
2020-04-30;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);95689.0
2020-05-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);14021619026.0
2020-05-16;Puissance moyenne journalière de la production totale (W);5335147323.0
2020-05-16;Puissance moyenne journalière de la production profilée totale (W);896511177.0
2020-05-16;Puissance moyenne journalière de la production autres totale (W);1557229722.0
2020-05-24;Puissance moyenne journalière de la production autres totale (W);1367016323.0
2020-05-25;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);47776877.0
2020-06-19;Puissance moyenne journalière de la production totale (W);4851294706.0
2020-06-29;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);67979787.0
2020-06-29;Puissance moyenne journalière de la consommation profilée HTA (W);1123885014.0
2020-06-29;Puissance moyenne journalière de la production totale (W);6928317981.0
2020-06-29;Puissance moyenne journalière de la production profilée totale (W);764012381.0
2020-06-29;Puissance moyenne journalière de la production autres profilée (W);1270443.0
2020-07-03;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);76630001.0
2020-07-10;Puissance moyenne journalière de la consommation totale (W);33497978124.0
2020-07-10;Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);89643426.0
2020-07-10;Puissance moyenne journalière de la consommation profilée HTA (W);1496390814.0
2020-07-10;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3839800948.0
2020-07-10;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);11197634857.0
2020-07-10;Puissance moyenne journalière de la production hydraulique profilée (W);6085775.0
2020-07-16;Puissance moyenne journalière de la consommation totale (W);33238116388.0
2020-07-16;Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);10789870694.0
2020-07-16;Puissance moyenne journalière de la production télérelevée totale (W);3393522346.0
2020-07-16;Puissance moyenne journalière de la production cogénération profilée (W);42380.0
2020-07-24;Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);27761813.0
2020-07-24;Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);3931122326.0
2020-07-24;Puissance moyenne journalière de la production télérelevée totale (W);3982468157.0
2020-07-24;Puissance moyenne journalière de la production profilée totale (W);888047898.0
2020-07-29;Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);5033908094.0
2020-07-29;Puissance moyenne journalière de la production télérelevée totale (W);2997476266.0
2020-07-29;Puissance moyenne journalière de la production cogénération totale (W);821857.0
2020-08-05;Puissance moyenne journalière de la consommation télérelevée HTA (W);10495887081.0
